player,team,gameInfo,salary,value,pointsAllowed,yardsAllowed,sacks,interceptions,fumblesRecovered,touchdowns,fantasy,positionRank,opponentOffensiveRank
Denver D/ST,Denver Broncos,,N/A,N/A,357.9,5669.9,43.45,11.61,7.73,3.04,119.29,1,
Baltimore D/ST,Baltimore Ravens,,N/A,N/A,365.8,5895.7,42.23,12.23,8,3.01,117.83,2,
Buffalo D/ST,Buffalo Bills,,N/A,N/A,368.1,5839.5,41.22,12.14,8.37,2.92,116.1,3,
Philadelphia D/ST,Philadelphia Eagles,,N/A,N/A,364.7,5705.7,39.3,12.39,7.76,2.99,114.96,4,
Miami D/ST,Miami Dolphins,,N/A,N/A,385.6,5630.9,43.79,11.31,8.6,2.77,112.14,5,
Tampa Bay D/ST,Tampa Bay Buccaneers,,N/A,N/A,392.5,5757.3,41.99,12.25,7.95,2.8,109.51,6,
Minnesota D/ST,Minnesota Vikings,,N/A,N/A,405,5826.8,46.68,11.16,8.27,2.71,109.31,7,
Washington D/ST,Washington Commanders,,N/A,N/A,388.5,5956,39.37,12.03,7.81,2.78,107.3,8,
San Francisco D/ST,San Francisco 49ers,,N/A,N/A,370,5764.8,31.91,12.65,7.85,2.92,106.17,9,
Los Angeles Chargers D/ST,Los Angeles Chargers,,N/A,N/A,379,5838.1,35.53,11.98,7.75,2.84,105.49,10,
Detroit D/ST,Detroit Lions,,N/A,N/A,395.7,6056.1,37.52,12.08,8.14,2.76,104.64,11,
Arizona D/ST,Arizona Cardinals,,N/A,N/A,399.3,5925.9,37.7,12.86,7.69,2.73,103.79,12,
Houston D/ST,Houston Texans,,N/A,N/A,377.8,5825.4,33.38,12.04,7.38,2.81,103.06,13,
New England D/ST,New England Patriots,,N/A,N/A,386.6,5896.3,34.87,11.59,8.27,2.67,102.55,14,
Kansas City D/ST,Kansas City Chiefs,,N/A,N/A,391.2,5883.3,37.21,11.38,7.41,2.8,101.95,15,
New Orleans D/ST,New Orleans Saints,,N/A,N/A,396.1,5927.8,34.81,12.36,8.52,2.69,101.79,16,
Pittsburgh D/ST,Pittsburgh Steelers,,N/A,N/A,392.2,5979.1,36.15,11.81,7.55,2.74,101.75,17,
Las Vegas D/ST,Las Vegas Raiders,,N/A,N/A,395.7,5794,38.39,11.03,7.73,2.65,101.05,18,
Jacksonville D/ST,Jacksonville Jaguars,,N/A,N/A,412.5,5908.9,41.7,11.72,7.81,2.51,100.91,19,
Atlanta D/ST,Atlanta Falcons,,N/A,N/A,403.4,5793.3,35.22,12.85,8.21,2.69,100.85,20,
New York Giants D/ST,New York Giants,,N/A,N/A,404.6,5986.3,40.35,11.23,7.88,2.53,100.78,21,
Green Bay D/ST,Green Bay Packers,,N/A,N/A,402.5,6008.7,36.53,11.69,8.06,2.74,100.46,22,
Seattle D/ST,Seattle Seahawks,,N/A,N/A,399.1,5848.3,35.3,11.9,8.25,2.72,100.34,23,
New York Jets D/ST,New York Jets,,N/A,N/A,390.3,5910,32.08,12,7.94,2.73,99.13,24,
Tennessee D/ST,Tennessee Titans,,N/A,N/A,385.2,5799.9,31.51,12.19,7.34,2.66,98.1,25,
Los Angeles Rams D/ST,Los Angeles Rams,,N/A,N/A,415,6042.9,36.41,12.25,7.8,2.6,96.91,26,
Indianapolis D/ST,Indianapolis Colts,,N/A,N/A,400.5,6044.6,32.54,12.14,7.69,2.64,96.29,27,
Dallas D/ST,Dallas Cowboys,,N/A,N/A,429,6047.8,38.59,11.02,8.46,2.38,93.48,28,
Chicago D/ST,Chicago Bears,,N/A,N/A,416.7,6280.6,31.25,11.34,7.94,2.52,89.83,29,
Cincinnati D/ST,Cincinnati Bengals,,N/A,N/A,432.2,6020.1,32.76,11.44,8.5,2.51,89.19,30,
Carolina D/ST,Carolina Panthers,,N/A,N/A,426.7,6088.9,30.45,12.43,8.25,2.36,87.89,31,
Cleveland D/ST,Cleveland Browns,,N/A,N/A,428.4,6119,31.08,10.83,8.29,2.37,85.13,32,
