player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Brock Bowers,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,110.41,153.9,1131.01,5.82,202.89,1,70,
Trey McBride,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,101.56,139.1,1016.22,5.95,187.76,2,74,
George Kittle,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,70.52,101.45,947.13,6.11,166.63,3,95,
Sam LaPorta,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.67,106.46,830.81,7.33,162.9,4,99,
Travis Kelce,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,84.76,118.02,775.9,6.3,156.75,5,105,
Mark Andrews,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,62.19,88.59,710.28,7.4,146.18,6,117,
David Njoku,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.05,116.5,802.42,4.37,144.13,7,121,
Kyle Pitts,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,58.58,99.67,693.69,4.89,128.34,8,131,
T.J. Hockenson,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,64.78,98.74,644.28,4.78,125.16,9,136,
Jake Ferguson,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,69.63,103.83,595.99,3.58,114.53,10,140,
Tyler Warren,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.06,94.89,593.08,3.69,113.64,11,141,
Dalton Kincaid,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,57.25,85.02,594.63,4.22,113.07,12,143,
Evan Engram,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.4,85.35,537.58,4,107.44,13,145,
Zach Ertz,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.08,78.33,478.86,4.29,100.67,14,153,
Chigoziem Okonkwo,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,55.57,77.63,547.51,2.88,99.48,15,154,
Tucker Kraft,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.11,65,530.92,3.82,97.85,16,157,
Mike Gesicki,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,51.65,76.9,471.24,3.57,94.37,17,166,
Brenton Strange,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,52.1,77.31,502.68,3,93.98,18,168,
Dallas Goedert,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.79,63.86,491.63,2.92,88.74,19,177,
Isaiah Likely,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.33,58.24,439.31,3.94,87.56,20,181,
Cade Otton,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.06,66.2,437.58,3.45,86.85,21,182,
Dalton Schultz,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.6,68.64,436.99,3.12,84.72,22,185,
Mason Taylor,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,47.83,69.48,430.35,2.94,84.25,23,188,
Tyler Conklin,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.28,66.94,423,3.14,82.94,24,193,
Theo Johnson,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,42.64,64.87,456.7,2.2,80.05,25,195,
Will Dissly,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.29,55.78,409.1,3.1,79.32,26,196,
Jonnu Smith,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.75,61.95,404.86,3.02,78.6,27,197,
Pat Freiermuth,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,42.17,61.95,406.79,2.85,77.98,28,199,
Hunter Henry,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,38.59,57.93,402.62,2.76,75.78,29,202,
Darren Waller,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.13,57.57,400.09,2.33,73.21,30,207,
Tyler Higbee,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.94,60.19,380.13,2.29,71.88,31,209,
AJ Barner,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.41,55.82,368.36,2.58,70.68,32,212,
Cole Kmet,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,38.14,54.91,360.52,2.22,68.1,33,221,
Colston Loveland,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.19,54.91,359.89,2.1,66.84,34,224,
Juwan Johnson,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.31,52.79,331.95,2.55,64.81,35,226,
Ja'Tavion Sanders,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,36.84,53.81,356.54,1.67,63.41,36,228,
Dawson Knox,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.41,43.88,305.88,2.66,59.91,37,234,
Austin Hooper,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,28.37,42.13,300.43,1.68,53.97,38,244,
Noah Gray,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.17,30.89,244.6,1.57,44.85,39,260,
Charlie Woerner,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,23.99,35.01,227.8,1.64,44.28,40,261,
Payne Durham,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.77,31.41,212.23,1.65,42.15,41,264,
Michael Mayer,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,23.74,33.59,225.5,1.28,41.76,42,265,
Jeremy Ruckert,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.99,32.25,185.53,1.32,37.13,43,273,
Blake Whiteheart,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.28,29.13,212.2,1,37.02,44,274,
Ben Sinnott,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.65,27.01,179.79,1.41,35.92,45,276,
Daniel Bellinger,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.43,29.74,199.96,0.99,35.81,46,277,
Adam Trautman,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,17.52,25.6,186.59,1.45,35.78,47,278,
Julian Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.55,28.79,172.29,1.22,34.48,48,280,
Luke Musgrave,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.73,21.68,142.91,1.16,28.62,49,287,
Foster Moreau,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.97,21.11,155.22,1.01,28.23,50,288,
Cade Stover,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.79,22.87,144.56,0.99,27.95,51,289,
Luke Schoonmaker,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.05,23.73,137.77,0.86,26.62,52,293,
Grant Calcaterra,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.87,19.62,142.95,0.87,26.11,53,295,
Tommy Tremble,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.11,21.52,129.83,0.7,23.9,54,303,
Kenny Yeboah,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,11.62,17.25,118.58,0.97,23.49,55,304,
Josh Oliver,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.11,18.35,110.94,0.98,22.69,56,307,
Drew Sample,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,9.36,12.83,70.82,0.6,15.36,57,323,
Davis Allen,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.14,11.45,74.89,0.44,14.2,58,326,
Eric Saubert,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.34,11.17,71.07,0.51,13.84,59,329,
Irv Smith Jr.,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.88,11.43,66.42,0.53,13.68,60,330,
Devin Culp,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.11,9.83,67.63,0.53,13.46,61,331,
Darnell Washington,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.34,10.79,70,0.46,13.43,62,332,
Ian Thomas,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.63,11.19,69.36,0.41,13.21,63,333,
Kylen Granson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.59,9.82,69.38,0.39,12.57,64,335,
Hunter Long,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.57,8.29,51.75,0.35,10.06,65,342,
Connor Heyward,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.48,8.09,50.01,0.35,9.84,66,344,
Tanner Hudson,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.55,6.42,41.74,0.34,8.49,67,349,
Erick All Jr.,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.59,6.42,41.04,0.34,8.44,68,350,
Cam Grandy,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.55,6.42,41.23,0.34,8.44,68,350,
Tucker Fisk,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.87,5.55,37.38,0.33,7.65,70,355,
Elijah Higgins,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.98,5.55,38.32,0.29,7.56,71,356,
Luke Farrell,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.7,5.47,35.27,0.27,7,72,357,
Durham Smythe,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.79,5.49,35.48,0.17,6.46,73,360,
James Mitchell,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.7,5.38,35.64,0.17,6.43,74,361,
Mo Alie-Cox,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.44,5.25,34.21,0.19,6.28,75,362,
Andrew Ogletree,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.53,5.25,32.84,0.17,6.07,76,363,
Brevyn Spann-Ford,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.04,2.95,17.76,0.17,3.82,77,389,
Will Mallory,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.82,2.65,15.91,0.17,3.52,78,394,
