player,çam,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Ja'Marr Chase,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,136.15,195.57,1750.3,14.02,327.11,1,10,
Justin Jefferson,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,110.79,169.06,1472.61,11.4,270.08,2,29,
CeeDee Lamb,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,4.43,22.5,0.17,112.86,165.38,1453.31,8.67,256.05,3,35,
Amon-Ra St. Brown,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,115.88,167.32,1325.45,10.64,253.91,4,37,
Puka Nacua,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.53,23.11,0.18,107.25,160.17,1358.46,8.21,241.78,5,42,
Drake London,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,101.56,161.14,1393.56,8.67,241.44,6,43,
Brian Thomas Jr.,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,99.59,163.8,1427.05,8.12,241.22,7,44,
Nico Collins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.64,156.87,1367.88,8.57,237.19,8,47,
Malik Nabers,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.88,158.22,1402.89,7.08,231.53,9,49,
Terry McLaurin,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,102.45,156.64,1256.67,8.7,228.75,10,52,
Mike Evans,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,89.35,143.74,1107.33,12.04,227.95,11,53,
Ladd McConkey,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.87,147.42,1305.53,8.36,227.13,12,55,
Tyreek Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,4.95,26.15,0.19,103,151.67,1219.67,8.37,227.1,13,56,
A.J. Brown,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,93.86,147.42,1297.95,8.5,227.05,14,57,
Tee Higgins,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.15,146.67,1223.22,8.41,219.56,15,58,
Jaxon Smith-Njigba,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,100.06,159.16,1218.26,7.45,216.22,16,60,
Zay Flowers,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,5.52,28.12,0.22,86.57,132.91,1146.66,7.86,209.46,17,64,
Marvin Harrison Jr.,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,90.12,149.37,1171.83,7.73,207.94,18,65,
D.K. Metcalf,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.72,139.46,1164.3,7.6,200.87,19,71,
Jerry Jeudy,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,85.04,136.01,1230.59,4.29,191.66,20,72,
D.J. Moore,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,9.16,47.89,0.34,96.57,150.63,1004.81,6.04,191.07,21,74,
Cooper Kupp,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,85.43,136.41,1014.4,7.66,189.1,22,76,
Jauan Jennings,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.67,48.88,0.36,76.98,126.95,1006.22,7.31,188.7,23,78,
Garrett Wilson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,89.34,147.37,1049.95,6.49,187.15,24,80,
Davante Adams,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.99,139.79,978.97,7.49,184.67,25,81,
Courtland Sutton,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.48,132.26,1020.17,7.35,183.5,26,83,
DeVonta Smith,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,84.36,122.44,1012.4,6.23,180.12,27,84,
Jaylen Waddle,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0.27,1.4,0.01,85.28,128.32,1006.11,5.62,177.07,28,86,
Ricky Pearsall,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.67,49.19,0.36,70.96,120.03,945.88,6.71,177.07,28,86,
Calvin Ridley,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,72.66,128.1,1026.01,5.98,174.07,30,88,
Xavier Worthy,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.5,124.05,944.35,6.43,171.69,31,90,
Deebo Samuel,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,10.07,52.17,0.56,72.76,112.67,926.94,5.89,171.63,32,91,
Travis Hunter,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,9,45.88,0.33,77.75,127.71,944.39,5.17,170.56,33,92,
